Hold,Features,Left,Right
1,100001,1,1
2,031200,3,2
3,021000,5,5
4,012100,1,1
5,142210,4,2
6,013100,1,1
7,012100,2,2
8,013100,2,2
9,131000,2,1
10,122210,0,1
11,033300,3,3
12,041000,1,0
13,022200,3,3
14,123210,3,3
15,033000,1,1
16,113110,1,1
17,014101,2,2
18,014100,4,3
19,001310,1,2
20,022100,1,1
21,013100,4,4
22,012100,3,3
23,001000,3,3
24,222210,3,3
25,013100,2,2
26,012101,4,4
27,001310,3,3
28,013100,4,4
29,100002,6,3
30,013100,3,3
31,143100,4,2
32,013100,6,5
33,144400,5,5
34,101520,3,5
35,024203,6,6
36,023001,4,5
37,022220,3,3
38,013100,5,5
39,124100,4,4
40,002001,4,4
50,114210,3,3
51,234210,4,4
52,001510,4,4
53,252000,5,3
54,016101,4,4
55,163300,3,5
56,153300,7,6
57,001610,3,5
58,001002,2,6
59,036300,7,7
60,001410,2,3
61,351002,2,5
62,153100,8,3
63,000051,2,3
64,161000,6,4
65,001410,5,5
66,273310,6,6
67,003000,6,6
68,026201,4,4
69,152510,6,6
70,014100,6,6
71,252100,5,3
72,015100,5,4
73,027200,7,7
74,425240,6,6
75,006440,6,7
76,015100,8,8
77,253102,5,3
78,001510,4,5
79,171000,7,3
80,400003,7,6
81,001003,7,7
82,024720,8,8
83,002620,3,6
84,262000,7,6
85,234300,4,4
86,025200,9,9
87,258520,9,9
88,046400,5,5
89,549411,8,7
90,058500,7,7
91,026920,9,9
92,012100,1,1
93,125210,2,1
94,033300,4,3
95,014100,2,1
96,013100,1,1
97,012200,2,3
98,013100,2,2
99,375200,9,9
100,135210,4,4
101,135410,4,4
102,001410,2,3
103,016100,4,4
104,135310,5,5
105,162000,3,2
106,144410,4,4
107,043300,2,3
108,263100,3,3
109,001410,3,4
110,001710,6,7
111,022200,6,3
112,263100,5,3
113,015100,5,5
114,151000,4,4
115,134310,4,4
116,001510,3,3
117,000450,4,2
118,001610,5,6
119,151001,5,2
120,014100,6,6
121,015100,7,7
122,024200,8,8
123,262000,7,2
124,002720,3,7
125,014100,5,5
126,023721,3,4
127,625260,4,4
128,001510,5,6
129,341002,5,3
130,382000,5,5
131,001410,3,5
132,014510,6,6
133,152000,8,3
134,330003,6,4
135,131000,6,2
136,268620,9,9
137,126210,4,4
138,282000,8,3
139,034730,5,5
140,004940,8,9
141,449421,8,8
142,014100,3,3
143,123210,1,1
144,002620,2,4
145,001310,3,4
146,013100,4,3
147,153000,3,1
148,252000,8,6
149,002420,3,4
